Nome_Figura_Ed,Nome_Figura_original,x,y,NomeObj,Tipo
C;119,Tape_Ink_1.png,657,61,Tape_Ink_1.png,C
C;120,tape_horizontalop2.png,989,248,tape_horizontalop2.png,C
C;121,fita_Isolante.png,789,378,fita_Isolante.png,C
C;122,Tape_Ink_1.png,1142,248,Tape_Ink_1.png,C
C;123,tape_horizontalop2.png,1142,663,tape_horizontalop2.png,C
C;124,tape_horizontalop2.png,657,388,tape_horizontalop2.png,C
C;125,Tape_Ink_1.png,1118,388,Tape_Ink_1.png,C
C;126,tape_horizontalop2.png,1119,682,tape_horizontalop2.png,C
C;127,Tape_Ink_1.png,658,388,Tape_Ink_1.png,C
C;128,tape_horizontalop2.png,993,421,tape_horizontalop2.png,C
C;129,Tape_Ink_1.png,1095,422,Tape_Ink_1.png,C
C;130,tape_horizontalop2.png,1102,701,tape_horizontalop2.png,C
C;131,tape_horizontalop2.png,824,629,tape_horizontalop2.png,C
C;132,Tape_Ink_1.png,1073,629,Tape_Ink_1.png,C
C;133,tape_horizontalop2.png,1073,721,tape_horizontalop2.png,C
C;134,fita_Isolante.png,565,549,fita_Isolante.png,C
C;135,fita_Isolante.png,585,549,fita_Isolante.png,C
C;136,LED_Default_1.png,750,556,LED_Default_1.png,C
C;137,fita_Isolante.png,424,550,fita_Isolante.png,C
C;138,tape_horizontalop2.png,219,559,tape_horizontalop2.png,C
C;139,Tape_Ink_1.png,611,560,Tape_Ink_1.png,C
C;140,tape_horizontalop2.png,664,152,tape_horizontalop2.png,C
C;141,tape_horizontalop2.png,665,311,tape_horizontalop2.png,C
C;142,LED_Default_1.png,175,493,LED_Default_1.png,C
C;143,tape_horizontalop2.png,666,479,tape_horizontalop2.png,C
C;144,LED_Default_1.png,924,243,LED_Default_1.png,C
C;145,LED_Default_1.png,470,486,LED_Default_1.png,C
C;146,LED_Default_1.png,924,416,LED_Default_1.png,C
C;147,LED_Default_1.png,619,86,LED_Default_1.png,C
C;148,Tape_Ink_1.png,657,478,Tape_Ink_1.png,C
C;149,Push_Button_1.png,1105,817,Push_Button_1.png,C
C;150,LED_Default_1.png,925,88,LED_Default_1.png,C
C;151,Tape_Ink_1.png,1092,821,Tape_Ink_1.png,C
C;152,Tape_Ink_1.png,1135,821,Tape_Ink_1.png,C
C;153,LED_Default_1.png,621,248,LED_Default_1.png,C
C;154,LED_Default_1.png,621,414,LED_Default_1.png,C
F;0,Template_Qaudro (1).png,0,414,Template_Qaudro (1).png,F
F;1,Q4_7.jpg,584,733,Q4_7.jpg,F
F;2,Q3.jpg,632,3,Q3.jpg,F
F;3,Q3_2.jpg,940,2,Q3_2.jpg,F
F;4,Template_Qaudro (1).png,617,0,Template_Qaudro (1).png,F
F;5,Template_Qaudro (1).png,2,2,Template_Qaudro (1).png,F
F;6,Q3_5.jpg,636,328,Q3_5.jpg,F
F;7,Q1.jpg,88,8,Q1.jpg,F
F;8,Q2.jpg,278,7,Q2.jpg,F
F;9,Q3_3.jpg,636,165,Q3_3.jpg,F
F;10,Q3_4.jpg,939,164,Q3_4.jpg,F
F;11,Q3_6.jpg,939,328,Q3_6.jpg,F
F;12,Q4_2.jpg,292,434,Q4_2.jpg,F
F;13,Q4_3.jpg,5,585,Q4_3.jpg,F
F;14,Q4_4.jpg,295,586,Q4_4.jpg,F
F;15,Q4_5.jpg,5,732,Q4_5.jpg,F
F;16,Q4_6.jpg,292,732,Q4_6.jpg,F
F;17,Q4_1.jpg,2,435,Q4_1.jpg,F
F;18,X_B1.png,10,11,X_B1.png,F
F;19,X_B2.png,277,7,X_B2.png,F
F;20,X_B3.png,468,115,X_B3.png,F
F;21,Q3_7.jpg,764,487,Q3_7.jpg,F
F;22,R2.jpg,12,223,R2.jpg,F
F;23,R5.jpg,9,304,R5.jpg,F
F;24,R10.jpg,164,220,R10.jpg,F
F;25,R20.jpg,165,304,R20.jpg,F
F;26,R50.jpg,323,221,R50.jpg,F
F;27,R100.jpg,322,301,R100.jpg,F
F;28,R200.png,487,221,R200.png,F
F;29,Z_Back_button_1 (4).png,1079,786,Z_Back_button_1 (4).png,F
F;30,Template_Qaudro (1).png,586,731,Template_Qaudro (1).png,F
